H0,-1.269123,1.464522,1.301899,11.215681,-50.827884,-43.384088,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.174684,0.180874,0.936018,-0.789480,-11.095081,14.328624,0.070845,0.025771,1.272398,-4.744805,-277.453130,5.648138
T2,1.346894,1.599130,2.044387,3.131245,38.574480,-12.182693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T3,-1.375616,1.561953,-1.474734,-0.846440,-34.360540,-13.752466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C4,-0.549230,0.185305,0.929521,4.402135,-77.314436,8.057513,-0.173939,-0.010873,-0.510166,-4.821931,-275.707116,5.273261
H0,-1.269086,1.464522,1.301894,11.217365,-50.826976,-43.386926,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.176847,0.181157,0.950155,-0.808781,-8.072281,14.358256,-0.001554,0.025416,1.271044,-5.326263,-276.635311,3.696150
C4,-0.549986,0.185139,0.923494,6.229369,-80.393806,6.278038,-0.145650,-0.012654,-0.519021,-4.929403,-275.563436,5.888106
H0,-1.269049,1.464522,1.301889,11.219042,-50.826071,-43.389767,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.179867,0.181378,0.964268,-0.710948,-4.962752,14.322768,-0.077959,0.024491,1.269028,-3.846383,-277.660085,4.952162
C4,-0.550406,0.185086,0.917461,9.024412,-83.423541,3.511875,-0.112741,-0.010578,-0.526771,-4.155032,-274.952735,5.989073
H0,-1.269012,1.464522,1.301884,11.220722,-50.825162,-43.392605,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.183607,0.181580,0.977842,-0.638545,-1.922297,14.328943,-0.151729,0.023558,1.259102,-3.557319,-277.296227,5.451574
C4,-0.550812,0.185010,0.911330,15.919084,-86.393656,-3.392864,-0.091376,-0.011353,-0.529669,-1.725868,-274.437848,4.489158
H0,-1.268975,1.464523,1.301880,11.222398,-50.824261,-43.395440,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.187099,0.181837,0.991640,-0.637208,1.146529,14.348122,-0.197767,0.023559,1.254086,-3.991700,-277.271038,4.087939
C4,-0.550485,0.184905,0.905238,70.104515,-88.896893,-57.530670,-0.057691,-0.011222,-0.534639,-1.995767,-274.586363,5.120320
H0,-1.268951,1.464523,1.301876,11.223475,-50.823680,-43.397263,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.192434,0.182088,1.005232,-0.588854,4.174063,14.356422,-0.272851,0.022991,1.242546,-3.751826,-277.007037,4.373599
C4,-0.549919,0.184976,0.899455,-22.327473,-87.086674,34.895935,-0.027109,-0.010000,-0.533853,-3.581195,-274.942626,4.694793
H0,-1.268951,1.464523,1.301876,11.223475,-50.823680,-43.397263,0.003347,0.000030,-0.000441,-0.174227,0.048614,-0.046907
C1,-0.198271,0.182357,1.018311,-0.563974,7.255893,14.379425,-0.342900,0.023360,1.225201,-4.074160,-277.250820,3.568948
C4,-0.549487,0.184800,0.893132,-11.047881,-84.163046,23.637820,-0.009770,-0.011774,-0.542175,-3.248005,-274.620432,4.535804
